ROI1,ROI2
"M0_amygdala_L","Amygdala_L"
"M0_amygdala_L_PercICV","Amygdala_L_PercICV"
"M0_amygdala_R","Amygdala_R"
"M0_amygdala_R_PercICV","Amygdala_R_PercICV"
"M0_caudate_L","Caudate_L"
"M0_caudate_L_PercICV","Caudate_L_PercICV"
"M0_caudate_R","Caudate_R"
"M0_caudate_R_PercICV","Caudate_R_PercICV"
"M0_corpus_callosum","CorpusCallosum"
"M0_corpus_callosum_PercICV","CorpusCallosum_PercICV"
"M0_hippocampus_L","Hippocampus_L"
"M0_hippocampus_L_PercICV","Hippocampus_L_PercICV"
"M0_hippocampus_R","Hippocampus_R"
"M0_hippocampus_R_PercICV","Hippocampus_R_PercICV"
"M0_Lateral_ventricle_L","LateralVentricles_L"
"M0_Lateral_ventricle_L_PercICV","LateralVentricles_L_PercICV"
"M0_Lateral_ventricle_R","LateralVentricles_R"
"M0_Lateral_ventricle_R_PercICV","LateralVentricles_R_PercICV"
"M0_putamen_L","Putamen_L"
"M0_putamen_L_PercICV","Putamen_L_PercICV"
"M0_putamen_R","Putamen_R"
"M0_putamen_R_PercICV","Putamen_R_PercICV"
"M0_thalamus_proper_L","ThalamusProper_L"
"M0_thalamus_proper_L_PercICV","ThalamusProper_L_PercICV"
"M0_thalamus_proper_R","ThalamusProper_R"
"M0_thalamus_proper_R_PercICV","ThalamusProper_R_PercICV"
"M2_deep_GM","DeepGM"
"M2_deep_GM_PercICV","DeepGM_PercICV"
"M2_frontal_GM","Frontal_GM"
"M2_frontal_GM_PercICV","Frontal_GM_PercICV"
"M2_limbic_GM","Limbic_GM"
"M2_limbic_GM_PercICV","Limbic_GM_PercICV"
"M2_occipital_GM","Occipital_GM"
"M2_occipital_GM_PercICV","Occipital_GM_PercICV"
"M2_parietal_GM","Parietal_GM"
"M2_parietal_GM_PercICV","Parietal_GM_PercICV"
"M2_temporal_GM","Temporal_GM"
"M2_temporal_GM_PercICV","Temporal_GM_PercICV"
"M3_frontal","Frontal"
"M3_frontal_PercICV","Frontal_PercICV"
"M3_limbic","Limbic"
"M3_limbic_PercICV","Limbic_PercICV"
"M3_occipital","Occipital"
"M3_occipital_PercICV","Occipital_PercICV"
"M3_parietal","Parietal"
"M3_parietal_PercICV","Parietal_PercICV"
"M3_temporal","Temporal"
"M3_temporal_PercICV","Temporal_PercICV"
"M4_cort_CSF","CortCSF"
"M4_cort_CSF_PercICV","CortCSF_PercICV"
"M4_GM","GM"
"M4_GM_L","GM_L"
"M4_GM_L_PercICV","GM_L_PercICV"
"M4_GM_PercICV","GM_PercICV"
"M4_GM_R","GM_R"
"M4_GM_R_PercICV","GM_R_PercICV"
"M4_ventricles","Ventricles"
"M4_ventricles_PercICV","Ventricles_PercICV"
"M4_WM","WM"
"M4_WM_L","WM_L"
"M4_WM_L_PercICV","WM_L_PercICV"
"M4_WM_PercICV","WM_PercICV"
"M4_WM_R","WM_R"
"M4_WM_R_PercICV","WM_R_PercICV"
"M5_ICV","ICV"
"M5_total_brain","TotalBrain"
"M5_total_brain_PercICV","TotalBrain_PercICV"
"SPARE_AD","SPARE_AD"
"SPARE_BA","SPARE_BA"
